S&atilde;o Miguel do Gostoso,2412559,micaelense de touros,JOSE RENATO TEIXEIRA DE SOUZA,431.444,10441,25.22,98.7,0.591,34.72,28273.22376,25598.18451,32719.36,
S&atilde;o Paulo do Potengi,2412609,potengiense,EUG&Ecirc;NIO PACELLI ARA&Uacute;JO SOUTO,240.425,17858,65.90,97.9,0.622,29.85,39691.42031,38977.17554,10649.82,
S&atilde;o Pedro,2412708,s&atilde;o-pedrense,MIGUEL CABRAL NASSER,195.237,5889,31.94,97.7,0.589,21.28,16695.40514,15826.52285,10693.71,
S&atilde;o Rafael,2412807,s&atilde;o-rafaelense,RENO MARINHO DE MAC&Ecirc;DO SOUZA,469.101,8183,17.29,98.2,0.611,13.33,17398.57978,15434.14413,9696.24,
S&atilde;o Tom&eacute;,2412906,s&atilde;o-tomeense,ANTEOMAR PEREIRA DA SILVA,862.585,11051,12.55,97.2,0.585,37.74,29112.54254,27544.71041,9342.43,
S&atilde;o Vicente,2413003,s&atilde;o-vicentense,JANE MARIA SOARES DE MEDEIROS,197.817,6476,30.47,92.5,0.642,-,16747.53358,15285.71487,10511.66,
Senador El&oacute;i de Souza,2413102,el&oacute;i-de-souzense,MACIEL GOMES DA SILVA,152.376,6167,33.63,97.7,0.583,-,18624.17417,16948.05279,8286.69,
Senador Georgino Avelino,2413201,georginense,ANTONIO MARCOS FREIRE,26.100,4527,151.31,97.1,0.570,47.62,15730.20657,13720.95059,27078.00,
Serra de S&atilde;o Bento,2413300,serra-bentense,WANESSA GOMES DE MORAIS,96.628,5739,59.43,97.5,0.582,-,15190.82156,14067.96907,8531.83,
Serra do Mel,2413359,serrano,JOSIVAN BIBIANO DE AZEVEDO,620.241,12225,16.69,97.8,0.614,9.48,39307.62248,35147.09216,31884.47,
Serra Negra do Norte,2413409,serra-negrense-do-norte,S&Eacute;RGIO FERNANDES DE MEDEIROS,562.396,8105,13.82,95.5,0.597,-,20032.48549,16352.94806,11230.14,
Serrinha,2413508,serrinhense,JOSE ANTONIO DE MEDEIROS CLEMENTE,193.351,6128,34.04,99,0.592,-,19494.8782,18586.63773,10096.81,
Serrinha dos Pintos,2413557,serriense dos pintos,BARBARA TEIXEIRA QUEIROZ,122.375,4832,37.02,96.1,0.598,-,15115.67349,13755.23931,9146.06,
Severiano Melo,2413607,severianense,JACINTO LOPES DE CARVALHO,157.850,1743,36.44,97.1,0.604,-,17338.28477,17218.40582,18188.29,
S&iacute;tio Novo,2413706,s&iacute;tio-novense,ANDREZZA BRASIL SOUTO,213.456,5600,23.52,99.4,0.572,-,15912.908,15332.45699,8308.37,
Taboleiro Grande,2413805,taboleirense,MARIA TARCIA RIBEIRO DA SILVA,124.093,2606,18.67,95.8,0.612,-,14249.62078,12494.14212,10817.15,
Taipu,2413904,taipuense,ARIOSVALDO BANDEIRA JUNIOR,352.818,12314,33.55,95.5,0.569,31.5,27096.594,25243.73427,10140.79,
Tangar&aacute;,2414001,tangarense,JOSE AIRTON BEZERRA,339.484,16008,39.72,98.1,0.608,5.05,37998.52161,31725.87276,9910.47,
Tenente Ananias,2414100,tenente-ananiense,LARISSA LISIANE DA CUNHA ROCHA JACOME,223.671,10923,44.19,95.1,0.592,33.56,24250.57428,21851.201,9096.90,
Tenente Laurentino Cruz,2414159,tenente-laurentinense,FRANCISCO MACEDO DA SILVA,68.556,6085,72.68,98.1,0.623,-,27001.33334,27114.67107,22053.28,
Tibau do Sul,2414209,tibauense,VALDENICIO JOSE DA COSTA,102.680,14694,111.81,95.7,0.645,13.22,43580.37525,42983.42443,26634.86,
Timba&uacute;ba dos Batistas,2414308,timbaubense,IVANILDO ARAUJO DE ALBUQUERQUE FILHO,135.456,2427,16.94,99.3,0.640,-,13008.32425,12262.85594,14538.02,
Touros,2414407,tourense,PEDRO FERREIRA DE FARIAS FILHO,753.961,33716,37.07,99.2,0.572,11.96,70283.38638,63216.58231,20431.35,
Triunfo Potiguar,2414456,triunfense potiguar,JOANA DARC ESTEVAM DA FONSECA SILVA,268.725,3195,12.53,97.8,0.602,-,14558.45048,13195.31199,12592.35,
Umarizal,2414506,umarizalense,RAIMUNDO NONATO DIAS PINHEIRO,213.584,10485,49.91,97.3,0.618,-,21498.73059,19586.52545,12901.73,
Upanema,2414605,upanemense,RENAN MENDON&Ccedil;A FERNANDES,873.140,14937,14.87,98,0.596,19.48,38209.32984,39072.49597,11917.06,
V&aacute;rzea,2414704,varzeano,PEDRO SALES BELO DA SILVA,72.684,5529,72.04,97.8,0.626,35.09,14557.30594,12895.79925,8870.91,
Venha-Ver,2414753,venha-verense,CLEITOM JACOME DA COSTA,71.621,4232,53.35,98.8,0.555,19.23,16760.05981,15467.93631,9239.61,
